Time,Latitude,Longitude,counts
1712982479.56,0,0,231.0
1712982481.56,0,0,33.5
1712982483.56,0,0,34.0
1712982485.53,0,0,34.0
1712982487.56,0,0,30.0
1712982489.56,0,0,35.0
1712982491.56,0,0,34.0
1712982493.54,0,0,34.0
1712982495.57,0,0,35.0
1712982497.56,0,0,27.5
1712982499.56,0,0,30.5
1712982501.56,0,0,29.5
1712982503.53,0,0,29.5
1712982505.56,0,0,25.0
1712982507.57,0,0,29.5
1712982509.56,0,0,36.0
1712982511.56,0,0,32.0
1712982513.53,0,0,32.0
1712982515.56,0,0,33.5
1712982517.57,0,0,31.0
1712982519.56,0,0,33.0
1712982521.53,0,0,33.0
1712982523.56,0,0,33.5
1712982525.56,0,0,33.5
1712982527.57,0,0,32.0
1712982529.57,0,0,30.5
1712982531.53,0,0,30.5
1712982533.55,0,0,33.0
1712982535.56,0,0,32.5
1712982537.57,0,0,31.0
1712982539.57,0,0,34.5
1712982541.53,0,0,34.5
1712982543.56,0,0,33.0
1712982545.56,0,0,36.5
1712982547.57,0,0,34.0
1712982549.54,0,0,34.0
1712982551.56,0,0,36.0
1712982553.56,0,0,24.5
1712982555.55,0,0,41.0
1712982557.57,0,0,28.5
1712982559.53,0,0,28.5
1712982561.56,0,0,36.0
1712982563.56,0,0,28.5
1712982565.55,0,0,29.0
1712982567.54,0,0,29.0
1712982569.57,0,0,31.5
1712982571.55,0,0,33.5
1712982573.56,0,0,34.5
1712982575.56,0,0,36.5
1712982577.55,0,0,36.5
1712982579.55,0,0,33.0
1712982581.56,0,0,30.5
1712982583.56,0,0,32.0
1712982585.55,0,0,28.5
1712982587.55,0,0,28.5
1712982589.56,0,0,34.0
1712982591.56,0,0,30.0
1712982593.56,0,0,40.5
1712982595.53,0,0,40.5
1712982597.56,0,0,30.0
1712982599.56,0,0,35.5
1712982601.56,0,0,29.5
1712982603.56,0,0,27.0
1712982605.53,0,0,27.0
1712982607.56,0,0,34.0
1712982609.56,0,0,30.5
1712982611.56,0,0,33.0
1712982613.56,0,0,32.5
1712982615.54,0,0,32.5
1712982617.55,0,0,27.5
1712982619.57,0,0,30.5
1712982621.56,0,0,34.5
1712982623.53,0,0,34.5
1712982625.59,0,0,26.0
1712982627.56,0,0,39.0
1712982629.57,0,0,24.5
1712982631.57,0,0,28.0
1712982633.53,0,0,28.0
1712982635.56,0,0,30.0
1712982637.56,0,0,32.0
1712982639.56,0,0,25.5
1712982641.53,0,0,25.5
1712982643.56,0,0,30.5
1712982645.56,0,0,37.5
1712982647.56,0,0,34.5
1712982649.56,0,0,28.5
1712982651.54,0,0,28.5
1712982653.55,0,0,30.5
1712982655.56,0,0,30.5
1712982657.56,0,0,25.5
1712982659.55,0,0,37.0
1712982661.53,0,0,37.0
1712982663.56,0,0,30.5
1712982665.55,0,0,30.5
1712982667.56,0,0,33.0
1712982669.53,0,0,33.0
1712982671.56,0,0,30.0
1712982673.56,0,0,30.5
1712982675.56,0,0,30.0
1712982677.56,0,0,35.5
1712982679.53,0,0,35.5
1712982681.56,0,0,22.5
1712982683.56,0,0,29.0
1712982685.56,0,0,34.5
1712982687.56,0,0,33.0
1712982689.54,0,0,33.0
1712982691.56,0,0,25.5
1712982693.56,0,0,39.0
1712982695.56,0,0,34.5
1712982697.54,0,0,34.5
1712982699.56,0,0,33.0
1712982701.56,0,0,25.0
1712982703.56,0,0,37.0
1712982705.55,0,0,27.5
1712982707.53,0,0,27.5
1712982709.56,0,0,34.0
1712982711.56,0,0,31.0
1712982713.56,0,0,34.0
1712982715.54,0,0,34.0
1712982717.55,0,0,28.5
1712982719.56,0,0,24.5
1712982721.56,0,0,37.0
1712982723.56,0,0,33.0
1712982725.53,0,0,33.0
1712982727.56,0,0,29.5
1712982729.56,0,0,28.5
1712982731.56,0,0,22.5
1712982733.55,0,0,36.0
1712982735.55,0,0,36.0
1712982737.56,0,0,27.0
1712982739.56,0,0,34.5
1712982741.56,0,0,27.0
1712982743.53,0,0,27.0
1712982745.56,0,0,29.5
1712982747.56,0,0,28.0
1712982749.56,0,0,28.5
1712982751.57,0,0,25.0
1712982753.53,0,0,25.0
1712982755.56,0,0,27.0
1712982757.56,0,0,31.5
1712982759.56,0,0,34.5
