Time,Latitude,Longitude,counts
1712995231.79,0,0,473827.0
1712995233.79,0,0,51.0
1712995235.78,0,0,37.5
1712995237.76,0,0,37.5
1712995239.78,0,0,34.5
1712995241.78,0,0,51.5
1712995243.78,0,0,45.5
1712995245.78,0,0,46.0
1712995247.76,0,0,46.0
1712995249.79,0,0,47.5
1712995251.78,0,0,49.0
1712995253.79,0,0,46.0
1712995255.77,0,0,46.0
1712995257.78,0,0,45.5
1712995259.79,0,0,49.0
1712995261.78,0,0,46.0
1712995263.78,0,0,47.0
1712995265.78,0,0,47.0
1712995267.79,0,0,40.5
1712995269.79,0,0,41.5
1712995271.78,0,0,36.0
1712995273.78,0,0,41.5
1712995275.77,0,0,41.5
1712995277.78,0,0,43.5
1712995279.79,0,0,39.0
1712995281.78,0,0,45.5
1712995283.77,0,0,45.5
1712995285.78,0,0,48.0
1712995287.78,0,0,44.0
1712995289.8,0,0,40.5
1712995291.78,0,0,45.0
1712995293.79,0,0,45.0
1712995295.78,0,0,41.5
1712995297.79,0,0,34.0
1712995299.8,0,0,37.0
1712995301.79,0,0,47.5
1712995303.78,0,0,47.5
1712995305.78,0,0,44.5
1712995307.78,0,0,44.0
1712995309.8,0,0,39.5
1712995311.76,0,0,39.5
1712995313.79,0,0,37.0
1712995315.78,0,0,29.5
1712995317.79,0,0,39.0
1712995319.82,0,0,41.5
1712995321.76,0,0,41.5
1712995323.78,0,0,41.5
1712995325.78,0,0,42.5
1712995327.78,0,0,43.0
1712995329.79,0,0,45.0
1712995331.76,0,0,45.0
1712995333.78,0,0,37.0
1712995335.78,0,0,42.0
1712995337.78,0,0,45.5
1712995339.76,0,0,45.5
1712995341.78,0,0,42.0
1712995343.78,0,0,36.0
1712995345.78,0,0,39.5
1712995347.78,0,0,34.5
1712995349.78,0,0,34.5
1712995351.79,0,0,36.0
1712995353.78,0,0,42.0
1712995355.78,0,0,43.5
1712995357.79,0,0,46.0
1712995359.76,0,0,46.0
1712995361.79,0,0,37.0
1712995363.78,0,0,49.0
1712995365.79,0,0,42.5
1712995367.76,0,0,42.5
1712995369.78,0,0,40.0
1712995371.78,0,0,39.5
1712995373.79,0,0,36.0
1712995375.79,0,0,45.5
1712995377.76,0,0,45.5
1712995379.78,0,0,45.0
1712995381.78,0,0,31.5
1712995383.78,0,0,41.5
1712995385.76,0,0,41.5
1712995387.78,0,0,41.0
1712995389.78,0,0,52.5
1712995391.78,0,0,39.5
1712995393.78,0,0,35.5
1712995395.76,0,0,35.5
1712995397.78,0,0,43.0
1712995399.78,0,0,50.5
1712995401.78,0,0,46.0
1712995403.78,0,0,35.5
1712995405.76,0,0,35.5
1712995407.78,0,0,50.0
1712995409.78,0,0,46.5
1712995411.78,0,0,41.5
1712995413.76,0,0,41.5
1712995415.78,0,0,36.5
1712995417.78,0,0,43.0
1712995419.78,0,0,28.0
1712995421.78,0,0,49.0
1712995423.76,0,0,49.0
1712995425.78,0,0,39.5
1712995427.78,0,0,41.0
1712995429.78,0,0,36.5
1712995431.78,0,0,32.5
1712995433.76,0,0,32.5
1712995435.79,0,0,39.0
1712995437.79,0,0,41.5
1712995439.78,0,0,43.5
1712995441.78,0,0,43.5
1712995443.78,0,0,46.5
1712995445.78,0,0,38.0
1712995447.78,0,0,43.0
1712995449.78,0,0,39.0
1712995451.76,0,0,39.0
1712995453.79,0,0,42.5
1712995455.79,0,0,39.0
1712995457.78,0,0,41.0
1712995459.78,0,0,48.0
1712995461.76,0,0,48.0
1712995463.79,0,0,40.0
1712995465.78,0,0,41.0
1712995467.78,0,0,43.5
1712995469.76,0,0,43.5
1712995471.78,0,0,37.0
1712995473.78,0,0,38.5
1712995475.79,0,0,55.5
1712995477.78,0,0,33.0
1712995479.76,0,0,33.0
1712995481.79,0,0,41.5
1712995483.79,0,0,36.0
1712995485.79,0,0,41.5
1712995487.76,0,0,41.5
1712995489.78,0,0,44.0
1712995491.79,0,0,35.0
1712995493.78,0,0,42.5
1712995495.78,0,0,43.5
1712995497.77,0,0,43.5
1712995499.78,0,0,44.0
1712995501.78,0,0,40.5
1712995503.78,0,0,42.5
1712995505.78,0,0,37.0
1712995507.76,0,0,37.0
1712995509.78,0,0,40.5
1712995511.79,0,0,49.0
1712995513.78,0,0,42.5
1712995515.77,0,0,42.5
1712995517.78,0,0,33.0
1712995519.78,0,0,44.5
1712995521.78,0,0,41.5
1712995523.78,0,0,41.0
1712995525.76,0,0,41.0
1712995527.79,0,0,48.5
1712995529.78,0,0,44.5
1712995531.78,0,0,47.5
1712995533.79,0,0,43.0
1712995535.76,0,0,43.0
1712995537.78,0,0,46.0
1712995539.78,0,0,36.0
1712995541.79,0,0,42.0
1712995543.76,0,0,42.0
1712995545.78,0,0,39.5
1712995547.78,0,0,39.0
1712995549.78,0,0,39.5
1712995551.78,0,0,39.5
1712995553.76,0,0,39.5
1712995555.79,0,0,45.5
1712995557.78,0,0,47.5
1712995559.79,0,0,46.5
1712995561.78,0,0,42.0
1712995563.76,0,0,42.0
1712995565.78,0,0,41.5
1712995567.79,0,0,45.5
1712995569.78,0,0,39.0
1712995571.76,0,0,39.0
1712995573.78,0,0,47.0
1712995575.78,0,0,40.0
1712995577.79,0,0,33.5
1712995579.78,0,0,41.5
1712995581.76,0,0,41.5
1712995583.79,0,0,41.0
1712995585.78,0,0,38.0
1712995587.79,0,0,43.5
1712995589.77,0,0,43.5
1712995591.79,0,0,35.0
1712995593.79,0,0,46.0
1712995595.79,0,0,44.5
1712995597.78,0,0,35.5
1712995599.77,0,0,35.5
1712995601.79,0,0,41.5
1712995603.79,0,0,39.0
1712995605.79,0,0,39.0
1712995607.79,0,0,48.5
1712995609.76,0,0,48.5
1712995611.78,0,0,36.0
1712995613.78,0,0,39.0
1712995615.78,0,0,45.0
1712995617.76,0,0,45.0
1712995619.78,0,0,41.5
1712995621.8,0,0,41.5
1712995623.79,0,0,44.0
1712995625.79,0,0,40.0
1712995627.76,0,0,40.0
1712995629.78,0,0,45.0
1712995631.78,0,0,38.5
1712995633.78,0,0,39.5
1712995635.77,0,0,39.5
1712995637.79,0,0,43.0
1712995639.78,0,0,42.5
1712995641.78,0,0,47.0
1712995643.78,0,0,40.0
1712995645.78,0,0,40.0
1712995647.78,0,0,43.5
1712995649.78,0,0,40.0
1712995651.78,0,0,40.5
1712995653.78,0,0,44.0
1712995655.76,0,0,44.0
1712995657.78,0,0,37.0
1712995659.79,0,0,40.5
1712995661.79,0,0,44.0
1712995663.76,0,0,44.0
1712995665.78,0,0,42.0
1712995667.79,0,0,43.0
1712995669.79,0,0,46.0
1712995671.79,0,0,50.5
1712995673.76,0,0,50.5
1712995675.78,0,0,46.5
1712995677.78,0,0,48.0
1712995679.78,0,0,45.0
1712995681.77,0,0,45.0
1712995683.78,0,0,41.0
1712995685.79,0,0,34.5
1712995687.78,0,0,53.5
1712995689.79,0,0,42.0
1712995691.76,0,0,42.0
1712995693.79,0,0,37.0
1712995695.78,0,0,44.0
1712995697.78,0,0,57.0
1712995699.78,0,0,32.5
1712995701.76,0,0,32.5
1712995703.79,0,0,40.5
1712995705.79,0,0,42.5
1712995707.78,0,0,39.0
1712995709.79,0,0,41.0
1712995711.76,0,0,41.0
1712995713.78,0,0,31.0
1712995715.78,0,0,47.0
1712995717.79,0,0,37.5
1712995719.76,0,0,37.5
1712995721.78,0,0,51.0
1712995723.78,0,0,35.0
1712995725.79,0,0,47.5
1712995727.78,0,0,38.0
1712995729.76,0,0,38.0
1712995731.79,0,0,43.5
1712995733.78,0,0,44.5
1712995735.78,0,0,44.5
1712995737.76,0,0,44.5
1712995739.78,0,0,41.0
1712995741.78,0,0,39.0
1712995743.78,0,0,43.0
1712995745.78,0,0,44.0
1712995747.77,0,0,44.0
1712995749.78,0,0,36.0
1712995751.79,0,0,47.5
1712995753.78,0,0,46.5
1712995755.78,0,0,41.0
1712995757.76,0,0,41.0
1712995759.79,0,0,41.5
1712995761.79,0,0,32.0
1712995763.79,0,0,43.5
1712995765.76,0,0,43.5
1712995767.79,0,0,42.5
1712995769.79,0,0,40.5
1712995771.78,0,0,48.0
1712995773.79,0,0,36.5
1712995775.76,0,0,36.5
1712995777.79,0,0,40.5
1712995779.78,0,0,34.5
1712995781.79,0,0,44.0
1712995783.79,0,0,43.0
1712995785.76,0,0,43.0
1712995787.79,0,0,44.0
1712995789.78,0,0,42.0
1712995791.79,0,0,38.0
1712995793.77,0,0,38.0
1712995795.79,0,0,46.5
1712995797.79,0,0,34.5
1712995799.79,0,0,36.0
1712995801.79,0,0,41.0
1712995803.76,0,0,41.0
1712995805.78,0,0,50.0
1712995807.79,0,0,47.5
1712995809.78,0,0,42.0
1712995811.79,0,0,47.0
