Time,Latitude,Longitude,counts
1712999122.96,0,0,21249.0
1712999124.92,0,0,70.5
1712999126.91,0,0,77.0
1712999128.89,0,0,77.0
1712999130.91,0,0,73.0
1712999132.91,0,0,66.0
1712999134.91,0,0,67.5
1712999136.93,0,0,66.5
1712999138.9,0,0,66.5
1712999140.91,0,0,64.5
1712999142.92,0,0,59.0
1712999144.92,0,0,65.0
1712999146.89,0,0,65.0
1712999148.91,0,0,69.5
1712999150.92,0,0,63.5
1712999152.91,0,0,61.0
1712999154.91,0,0,73.5
1712999156.89,0,0,73.5
1712999158.92,0,0,65.0
1712999160.93,0,0,58.0
1712999162.91,0,0,67.0
1712999164.91,0,0,63.5
1712999166.89,0,0,63.5
1712999168.91,0,0,69.0
1712999170.93,0,0,67.0
1712999172.91,0,0,70.5
1712999174.89,0,0,70.5
1712999176.91,0,0,75.5
1712999178.91,0,0,56.0
1712999180.93,0,0,69.0
1712999182.91,0,0,60.0
1712999184.9,0,0,60.0
1712999186.92,0,0,71.0
1712999188.91,0,0,70.0
1712999190.94,0,0,75.0
1712999192.9,0,0,75.0
1712999194.91,0,0,71.5
1712999196.91,0,0,60.0
1712999198.91,0,0,65.0
1712999200.92,0,0,62.0
1712999202.91,0,0,62.0
1712999204.91,0,0,65.5
1712999206.91,0,0,66.0
1712999208.91,0,0,67.5
1712999210.92,0,0,69.0
1712999212.89,0,0,69.0
1712999214.91,0,0,75.0
1712999216.92,0,0,68.5
1712999218.91,0,0,75.5
1712999220.89,0,0,75.5
1712999222.91,0,0,68.0
1712999224.91,0,0,67.0
1712999226.92,0,0,59.0
1712999228.91,0,0,72.5
1712999230.89,0,0,72.5
1712999232.91,0,0,69.0
1712999234.91,0,0,67.0
1712999236.91,0,0,61.5
1712999238.92,0,0,67.0
1712999240.9,0,0,67.0
1712999242.91,0,0,63.5
1712999244.91,0,0,75.5
1712999246.91,0,0,67.0
1712999248.89,0,0,67.0
1712999250.91,0,0,76.5
1712999252.91,0,0,57.5
1712999254.91,0,0,48.5
1712999256.92,0,0,64.5
1712999258.89,0,0,64.5
1712999260.92,0,0,67.5
1712999262.92,0,0,58.0
1712999264.91,0,0,66.0
1712999266.89,0,0,66.0
1712999268.91,0,0,62.0
1712999270.91,0,0,60.0
1712999272.91,0,0,58.0
1712999274.91,0,0,66.5
1712999276.89,0,0,66.5
1712999278.92,0,0,72.5
1712999280.92,0,0,70.0
1712999282.91,0,0,70.0
1712999284.91,0,0,65.5
1712999286.91,0,0,65.5
1712999288.92,0,0,57.5
1712999290.92,0,0,71.5
1712999292.92,0,0,77.0
1712999294.89,0,0,77.0
1712999296.91,0,0,66.5
1712999298.91,0,0,65.5
1712999300.91,0,0,57.5
1712999302.91,0,0,61.0
1712999304.89,0,0,61.0
1712999306.91,0,0,72.0
1712999308.91,0,0,67.0
1712999310.91,0,0,58.0
1712999312.89,0,0,58.0
1712999314.92,0,0,66.0
1712999316.91,0,0,66.5
1712999318.91,0,0,65.0
1712999320.91,0,0,66.0
1712999322.89,0,0,66.0
1712999324.92,0,0,62.0
1712999326.92,0,0,58.0
1712999328.91,0,0,68.0
1712999330.91,0,0,71.5
1712999332.91,0,0,71.5
1712999334.92,0,0,70.5
1712999336.92,0,0,76.0
1712999338.91,0,0,61.0
1712999340.89,0,0,61.0
1712999342.91,0,0,60.5
1712999344.91,0,0,62.5
1712999346.91,0,0,57.0
1712999348.91,0,0,70.5
1712999350.91,0,0,70.5
1712999352.91,0,0,65.0
1712999354.92,0,0,65.0
1712999356.91,0,0,64.5
1712999358.89,0,0,64.5
1712999360.91,0,0,68.0
1712999362.91,0,0,53.0
1712999364.91,0,0,77.5
1712999366.91,0,0,60.5
1712999368.89,0,0,60.5
1712999370.91,0,0,61.0
1712999372.91,0,0,64.5
1712999374.92,0,0,76.0
1712999376.92,0,0,72.5
1712999378.9,0,0,72.5
1712999380.91,0,0,71.5
1712999382.92,0,0,69.5
1712999384.91,0,0,69.0
1712999386.9,0,0,69.0
1712999388.91,0,0,67.5
1712999390.91,0,0,68.0
1712999392.91,0,0,68.0
1712999394.91,0,0,72.5
1712999396.89,0,0,72.5
1712999398.91,0,0,73.5
1712999400.91,0,0,70.5
1712999402.91,0,0,55.0
1712999404.91,0,0,65.0
1712999406.89,0,0,65.0
1712999408.92,0,0,61.5
1712999410.91,0,0,72.5
1712999412.91,0,0,66.0
1712999414.89,0,0,66.0
1712999416.91,0,0,72.0
1712999418.91,0,0,64.5
1712999420.91,0,0,58.0
1712999422.91,0,0,64.0
1712999424.89,0,0,64.0
1712999426.92,0,0,62.5
1712999428.91,0,0,77.5
1712999430.91,0,0,64.5
1712999432.93,0,0,67.0
1712999434.89,0,0,67.0
1712999436.91,0,0,71.5
1712999438.91,0,0,61.5
1712999440.91,0,0,67.5
1712999442.9,0,0,67.5
1712999444.91,0,0,70.0
1712999446.92,0,0,68.5
1712999448.92,0,0,65.5
1712999450.92,0,0,48.5
1712999452.9,0,0,48.5
1712999454.91,0,0,61.0
1712999456.91,0,0,66.5
1712999458.91,0,0,66.5
1712999460.9,0,0,66.5
1712999462.91,0,0,69.5
1712999464.91,0,0,68.0
1712999466.91,0,0,61.5
1712999468.91,0,0,67.0
1712999470.89,0,0,67.0
1712999472.91,0,0,66.5
1712999474.92,0,0,63.5
1712999476.91,0,0,69.5
1712999478.92,0,0,64.0
1712999480.91,0,0,64.0
1712999482.91,0,0,60.5
1712999484.91,0,0,65.5
1712999486.91,0,0,68.0
1712999488.89,0,0,68.0
1712999490.91,0,0,69.0
1712999492.91,0,0,70.0
1712999494.92,0,0,64.5
1712999496.92,0,0,79.5
1712999498.89,0,0,79.5
1712999500.91,0,0,62.5
1712999502.91,0,0,68.5
1712999504.92,0,0,61.5
1712999506.9,0,0,61.5
1712999508.92,0,0,65.0
1712999510.91,0,0,72.0
1712999512.91,0,0,65.0
1712999514.91,0,0,78.0
1712999516.89,0,0,78.0
1712999518.91,0,0,69.5
1712999520.91,0,0,67.5
1712999522.91,0,0,74.0
1712999524.92,0,0,72.5
1712999526.91,0,0,72.5
1712999528.92,0,0,61.0
1712999530.91,0,0,75.0
1712999532.91,0,0,67.0
1712999534.89,0,0,67.0
1712999536.91,0,0,65.0
1712999538.91,0,0,66.5
1712999540.91,0,0,65.5
1712999542.91,0,0,62.5
1712999544.89,0,0,62.5
1712999546.91,0,0,59.5
1712999548.91,0,0,56.5
1712999550.91,0,0,64.5
1712999552.91,0,0,67.0
1712999554.89,0,0,67.0
1712999556.92,0,0,59.0
1712999558.92,0,0,60.5
1712999560.92,0,0,52.0
1712999562.89,0,0,52.0
1712999564.92,0,0,68.0
1712999566.91,0,0,70.5
1712999568.92,0,0,73.0
1712999570.92,0,0,65.5
1712999572.9,0,0,65.5
1712999574.91,0,0,62.5
1712999576.91,0,0,69.5
1712999578.92,0,0,58.0
1712999580.89,0,0,58.0
1712999582.92,0,0,64.5
1712999584.92,0,0,66.0
1712999586.92,0,0,71.5
1712999588.91,0,0,59.5
1712999590.89,0,0,59.5
1712999592.91,0,0,60.5
1712999594.91,0,0,58.0
1712999596.91,0,0,57.0
1712999598.91,0,0,58.0
1712999600.89,0,0,58.0
1712999602.92,0,0,75.0
1712999604.92,0,0,62.5
1712999606.92,0,0,67.0
1712999608.89,0,0,67.0
1712999610.92,0,0,55.5
1712999612.91,0,0,69.0
1712999614.92,0,0,73.5
1712999616.92,0,0,56.5
1712999618.89,0,0,56.5
1712999620.92,0,0,69.5
1712999622.92,0,0,66.0
1712999624.91,0,0,71.5
1712999626.92,0,0,76.0
1712999628.91,0,0,76.0
1712999630.92,0,0,64.0
1712999632.92,0,0,59.5
1712999634.92,0,0,69.5
1712999636.89,0,0,69.5
1712999638.92,0,0,69.5
1712999640.92,0,0,63.5
1712999642.91,0,0,78.0
1712999644.92,0,0,66.0
1712999646.89,0,0,66.0
1712999648.92,0,0,75.0
1712999650.91,0,0,59.0
1712999652.91,0,0,60.5
1712999654.89,0,0,60.5
1712999656.91,0,0,63.5
1712999658.92,0,0,68.5
1712999660.91,0,0,60.5
1712999662.91,0,0,59.5
1712999664.89,0,0,59.5
1712999666.91,0,0,70.5
1712999668.92,0,0,68.5
1712999670.91,0,0,67.0
1712999672.91,0,0,66.5
1712999674.9,0,0,66.5
1712999676.91,0,0,65.5
1712999678.92,0,0,61.0
1712999680.92,0,0,63.0
1712999682.89,0,0,63.0
1712999684.92,0,0,75.0
1712999686.92,0,0,61.5
1712999688.92,0,0,61.0
1712999690.91,0,0,60.5
1712999692.89,0,0,60.5
1712999694.92,0,0,64.5
1712999696.91,0,0,69.5
1712999698.91,0,0,74.0
1712999700.92,0,0,64.5
1712999702.89,0,0,64.5
1712999704.92,0,0,68.0
1712999706.91,0,0,60.5
1712999708.92,0,0,73.5
1712999710.89,0,0,73.5
1712999712.92,0,0,73.5
1712999714.92,0,0,64.0
1712999716.92,0,0,72.5
1712999718.91,0,0,56.5
1712999720.89,0,0,56.5
1712999722.91,0,0,59.5
1712999724.91,0,0,70.0
1712999726.92,0,0,65.0
1712999728.89,0,0,65.0
1712999730.92,0,0,59.0
1712999732.91,0,0,68.0
1712999734.92,0,0,57.0
1712999736.92,0,0,69.0
1712999738.89,0,0,69.0
1712999740.92,0,0,65.5
1712999742.91,0,0,78.0
1712999744.91,0,0,69.0
1712999746.91,0,0,69.0
1712999748.89,0,0,69.0
1712999750.91,0,0,69.5
1712999752.92,0,0,59.0
1712999754.91,0,0,78.5
1712999756.89,0,0,78.5
1712999758.91,0,0,77.0
1712999760.91,0,0,64.0
1712999762.91,0,0,62.0
1712999764.91,0,0,66.0
1712999766.89,0,0,66.0
1712999768.91,0,0,58.5
1712999770.91,0,0,73.0
1712999772.91,0,0,60.0
1712999774.9,0,0,60.0
1712999776.92,0,0,69.0
1712999778.92,0,0,66.5
1712999780.92,0,0,73.5
1712999782.91,0,0,67.0
1712999784.89,0,0,67.0
1712999786.91,0,0,68.0
1712999788.91,0,0,66.5
1712999790.92,0,0,64.5
1712999792.91,0,0,61.0
1712999794.89,0,0,61.0
1712999796.91,0,0,66.0
1712999798.91,0,0,68.0
1712999800.91,0,0,58.5
1712999802.89,0,0,58.5
1712999804.91,0,0,62.0
1712999806.91,0,0,75.0
1712999808.92,0,0,75.0
1712999810.91,0,0,54.5
1712999812.89,0,0,54.5
1712999814.92,0,0,69.0
1712999816.92,0,0,61.5
1712999818.92,0,0,65.5
1712999820.92,0,0,71.5
1712999822.89,0,0,71.5
1712999824.91,0,0,66.0
1712999826.91,0,0,61.5
1712999828.92,0,0,67.0
1712999830.89,0,0,67.0
1712999832.92,0,0,64.5
1712999834.92,0,0,64.0
1712999836.92,0,0,73.0
1712999838.92,0,0,67.0
1712999840.91,0,0,67.0
1712999842.92,0,0,62.0
1712999844.91,0,0,67.0
1712999846.91,0,0,66.5
1712999848.89,0,0,66.5
1712999850.91,0,0,67.0
1712999852.91,0,0,67.5
1712999854.91,0,0,71.0
1712999856.91,0,0,56.5
1712999858.89,0,0,56.5
1712999860.92,0,0,64.5
1712999862.91,0,0,70.0
1712999864.91,0,0,66.5
1712999866.91,0,0,62.5
1712999868.9,0,0,62.5
1712999870.92,0,0,73.5
1712999872.91,0,0,69.0
1712999874.91,0,0,69.0
1712999876.89,0,0,69.0
1712999878.91,0,0,66.0
1712999880.91,0,0,74.5
1712999882.91,0,0,79.5
1712999884.92,0,0,67.0
1712999886.89,0,0,67.0
1712999888.91,0,0,69.0
1712999890.91,0,0,71.5
1712999892.91,0,0,74.0
1712999894.89,0,0,74.0
1712999896.91,0,0,71.5
1712999898.91,0,0,66.0
1712999900.91,0,0,61.5
1712999902.91,0,0,67.0
1712999904.89,0,0,67.0
1712999906.91,0,0,60.0
1712999908.91,0,0,57.0
1712999910.91,0,0,62.0
1712999912.91,0,0,67.5
1712999914.9,0,0,67.5
1712999916.91,0,0,71.0
1712999918.91,0,0,67.0
1712999920.91,0,0,69.0
1712999922.89,0,0,69.0
1712999924.91,0,0,63.5
1712999926.91,0,0,67.5
1712999928.91,0,0,65.0
1712999930.93,0,0,67.0
1712999932.89,0,0,67.0
1712999934.91,0,0,59.0
1712999936.91,0,0,60.0
1712999938.91,0,0,69.0
1712999940.91,0,0,74.0
1712999942.89,0,0,74.0
1712999944.91,0,0,74.0
1712999946.91,0,0,53.0
1712999948.91,0,0,61.5
1712999950.89,0,0,61.5
1712999952.91,0,0,65.0
1712999954.91,0,0,75.5
1712999956.92,0,0,56.5
1712999958.92,0,0,64.0
1712999960.9,0,0,64.0
1712999962.92,0,0,61.0
1712999964.91,0,0,62.0
1712999966.91,0,0,64.0
1712999968.89,0,0,64.0
1712999971.01,0,0,68.0
1712999972.91,0,0,73.5
1712999974.91,0,0,73.5
1712999976.91,0,0,66.0
1712999978.89,0,0,66.0
1712999980.91,0,0,61.0
1712999982.91,0,0,84.0
1712999984.91,0,0,68.0
1712999986.91,0,0,59.0
1712999988.9,0,0,59.0
1712999990.91,0,0,70.5
1712999992.91,0,0,60.5
1712999994.91,0,0,60.5
1712999996.89,0,0,60.5
1712999998.91,0,0,68.0
1713000000.91,0,0,72.0
1713000002.91,0,0,65.0
1713000004.91,0,0,65.5
1713000006.9,0,0,65.5
1713000008.91,0,0,65.5
1713000010.91,0,0,63.5
1713000012.91,0,0,59.5
1713000014.91,0,0,63.5
1713000016.91,0,0,63.5
1713000018.91,0,0,61.5
1713000020.91,0,0,74.5
1713000022.91,0,0,61.0
1713000024.89,0,0,61.0
1713000026.91,0,0,67.5
1713000028.92,0,0,69.5
1713000030.91,0,0,65.5
1713000032.91,0,0,64.0
1713000034.89,0,0,64.0
1713000036.91,0,0,74.5
1713000038.91,0,0,70.5
1713000040.91,0,0,66.5
1713000042.9,0,0,66.5
1713000044.91,0,0,74.5
1713000046.91,0,0,62.5
1713000048.91,0,0,68.0
1713000050.91,0,0,71.5
1713000052.89,0,0,71.5
1713000054.91,0,0,67.0
1713000056.92,0,0,70.0
1713000058.92,0,0,63.5
1713000060.92,0,0,70.5
1713000062.9,0,0,70.5
1713000064.91,0,0,69.0
1713000066.91,0,0,59.5
1713000068.91,0,0,61.5
1713000070.89,0,0,61.5
1713000072.91,0,0,75.5
1713000074.91,0,0,58.5
1713000076.91,0,0,68.0
1713000078.92,0,0,74.0
1713000080.89,0,0,74.0
1713000082.91,0,0,60.0
1713000084.91,0,0,58.5
1713000086.91,0,0,63.0
1713000088.91,0,0,61.0
1713000090.89,0,0,61.0
1713000092.91,0,0,68.0
1713000094.91,0,0,67.5
1713000096.91,0,0,80.5
1713000098.89,0,0,80.5
1713000100.91,0,0,66.5
1713000102.91,0,0,68.0
1713000104.91,0,0,70.5
1713000106.92,0,0,68.5
1713000108.89,0,0,68.5
1713000110.91,0,0,67.0
1713000112.91,0,0,59.5
1713000114.91,0,0,70.0
1713000116.89,0,0,70.0
1713000118.91,0,0,76.5
1713000120.91,0,0,70.0
1713000122.91,0,0,57.0
1713000124.91,0,0,68.5
1713000126.89,0,0,68.5
1713000128.92,0,0,77.0
1713000130.91,0,0,72.0
1713000132.91,0,0,68.0
1713000134.91,0,0,75.0
1713000136.89,0,0,75.0
1713000138.92,0,0,64.5
1713000140.92,0,0,71.5
1713000142.91,0,0,67.5
1713000144.89,0,0,67.5
1713000146.91,0,0,65.5
1713000148.91,0,0,64.5
1713000150.91,0,0,67.0
1713000152.91,0,0,69.0
1713000154.89,0,0,69.0
1713000156.91,0,0,64.5
1713000158.91,0,0,62.0
1713000160.92,0,0,65.5
1713000162.9,0,0,65.5
1713000164.95,0,0,57.5
1713000166.92,0,0,61.5
1713000168.91,0,0,62.5
1713000170.91,0,0,64.5
1713000172.89,0,0,64.5
1713000174.91,0,0,59.5
1713000176.91,0,0,67.5
1713000178.91,0,0,57.5
1713000180.91,0,0,62.5
1713000182.89,0,0,62.5
1713000184.91,0,0,75.5
1713000186.91,0,0,69.0
1713000188.91,0,0,68.0
1713000190.89,0,0,68.0
1713000192.91,0,0,63.5
1713000194.92,0,0,60.0
1713000196.91,0,0,60.0
1713000198.91,0,0,65.5
1713000200.91,0,0,65.5
1713000202.92,0,0,60.0
1713000204.91,0,0,62.0
1713000206.91,0,0,65.0
1713000208.91,0,0,63.5
1713000210.91,0,0,63.5
1713000212.91,0,0,63.0
1713000214.91,0,0,67.0
