Time,Latitude,Longitude,counts
1712986983.08,0,0,670.0
1712986985.07,0,0,28.5
1712986987.05,0,0,28.5
1712986989.08,0,0,24.0
1712986991.08,0,0,23.5
1712986993.08,0,0,24.0
1712986995.08,0,0,27.5
1712986997.05,0,0,27.5
1712986999.07,0,0,21.0
1712987001.09,0,0,27.0
1712987003.08,0,0,24.0
1712987005.07,0,0,31.0
1712987007.06,0,0,31.0
1712987009.09,0,0,25.5
1712987011.09,0,0,26.5
1712987013.08,0,0,22.0
1712987015.05,0,0,22.0
1712987017.08,0,0,21.0
1712987019.08,0,0,23.0
1712987021.09,0,0,29.5
1712987023.07,0,0,26.5
1712987025.05,0,0,26.5
1712987027.07,0,0,26.5
1712987029.07,0,0,36.5
1712987031.09,0,0,29.0
1712987033.08,0,0,26.0
1712987035.06,0,0,26.0
1712987037.07,0,0,27.5
1712987039.07,0,0,26.5
1712987041.09,0,0,23.5
1712987043.1,0,0,24.0
1712987045.05,0,0,24.0
1712987047.07,0,0,25.5
1712987049.07,0,0,24.0
1712987051.08,0,0,26.5
1712987053.05,0,0,26.5
1712987055.07,0,0,29.5
1712987057.07,0,0,22.0
1712987059.07,0,0,26.0
1712987061.08,0,0,24.0
1712987063.06,0,0,24.0
1712987065.08,0,0,29.5
1712987067.08,0,0,32.5
1712987069.07,0,0,28.5
1712987071.06,0,0,28.5
1712987073.08,0,0,20.5
1712987075.07,0,0,22.5
1712987077.07,0,0,29.0
1712987079.07,0,0,31.0
1712987081.06,0,0,31.0
1712987083.09,0,0,27.0
1712987085.08,0,0,26.0
1712987087.08,0,0,29.5
1712987089.08,0,0,32.5
1712987091.05,0,0,32.5
1712987093.11,0,0,27.5
1712987095.07,0,0,32.0
1712987097.08,0,0,22.5
1712987099.08,0,0,27.5
1712987101.05,0,0,27.5
1712987103.08,0,0,24.5
1712987105.08,0,0,25.5
1712987107.08,0,0,22.0
1712987109.07,0,0,22.0
1712987111.07,0,0,19.0
1712987113.08,0,0,27.5
1712987115.08,0,0,30.0
1712987117.08,0,0,29.0
1712987119.05,0,0,29.0
1712987121.08,0,0,25.5
1712987123.08,0,0,19.5
1712987125.08,0,0,27.5
1712987127.09,0,0,31.0
1712987129.05,0,0,31.0
1712987131.08,0,0,35.5
1712987133.08,0,0,26.5
1712987135.08,0,0,25.5
1712987137.05,0,0,25.5
1712987139.11,0,0,31.0
1712987141.08,0,0,22.0
1712987143.08,0,0,24.0
1712987145.08,0,0,27.5
1712987147.06,0,0,27.5
1712987149.08,0,0,27.5
1712987151.07,0,0,28.0
1712987153.08,0,0,22.5
1712987155.08,0,0,24.0
1712987157.06,0,0,24.0
1712987159.08,0,0,30.0
1712987161.07,0,0,31.5
1712987163.07,0,0,26.5
1712987165.05,0,0,26.5
1712987167.09,0,0,27.0
1712987169.07,0,0,33.5
1712987171.08,0,0,25.0
1712987173.08,0,0,31.0
1712987175.05,0,0,31.0
1712987177.07,0,0,25.0
1712987179.08,0,0,30.0
1712987181.07,0,0,26.5
1712987183.08,0,0,27.0
1712987185.07,0,0,27.0
1712987187.08,0,0,20.0
1712987189.08,0,0,28.0
1712987191.08,0,0,28.5
1712987193.06,0,0,28.5
1712987195.07,0,0,20.0
1712987197.08,0,0,27.0
1712987199.09,0,0,25.5
1712987201.07,0,0,24.0
1712987203.05,0,0,24.0
1712987205.08,0,0,29.5
1712987207.07,0,0,21.0
1712987209.07,0,0,29.0
1712987211.07,0,0,27.5
1712987213.05,0,0,27.5
1712987215.07,0,0,28.5
1712987217.07,0,0,27.5
1712987219.08,0,0,25.5
1712987221.05,0,0,25.5
1712987223.08,0,0,26.5
1712987225.08,0,0,20.5
1712987227.07,0,0,20.5
1712987229.08,0,0,25.5
1712987231.05,0,0,25.5
1712987233.08,0,0,30.5
1712987235.08,0,0,27.0
1712987237.08,0,0,20.5
1712987239.08,0,0,30.0
1712987241.05,0,0,30.0
1712987243.07,0,0,23.5
1712987245.08,0,0,25.5
1712987247.08,0,0,28.0
1712987249.05,0,0,28.0
1712987251.08,0,0,24.5
1712987253.08,0,0,26.5
1712987255.08,0,0,30.5
1712987257.08,0,0,28.5
1712987259.05,0,0,28.5
1712987261.08,0,0,21.5
1712987263.08,0,0,32.5
1712987265.08,0,0,23.5
1712987267.08,0,0,30.0
1712987269.05,0,0,30.0
1712987271.07,0,0,24.0
1712987273.08,0,0,24.5
1712987275.08,0,0,22.0
1712987277.05,0,0,22.0
1712987279.08,0,0,21.5
1712987281.08,0,0,32.5
1712987283.08,0,0,31.5
1712987285.08,0,0,32.0
1712987287.06,0,0,32.0
1712987289.08,0,0,27.0
1712987291.07,0,0,20.0
1712987293.08,0,0,22.5
1712987295.07,0,0,20.5
1712987297.05,0,0,20.5
1712987299.07,0,0,20.5
1712987301.08,0,0,26.5
1712987303.07,0,0,30.0
1712987305.05,0,0,30.0
1712987307.08,0,0,27.0
1712987309.08,0,0,24.5
1712987311.07,0,0,25.5
1712987313.08,0,0,26.5
1712987315.06,0,0,26.5
1712987317.08,0,0,30.0
1712987319.08,0,0,35.0
1712987321.07,0,0,29.0
1712987323.07,0,0,26.5
1712987325.05,0,0,26.5
1712987327.08,0,0,29.0
1712987329.08,0,0,21.0
1712987331.08,0,0,25.5
1712987333.08,0,0,25.5
1712987335.08,0,0,27.0
1712987337.08,0,0,31.0
1712987339.08,0,0,27.0
1712987341.07,0,0,24.0
1712987343.05,0,0,24.0
1712987345.09,0,0,24.5
1712987347.07,0,0,28.0
1712987349.08,0,0,29.0
1712987351.08,0,0,24.5
1712987353.05,0,0,24.5
1712987355.08,0,0,29.5
1712987357.08,0,0,28.5
1712987359.08,0,0,29.0
1712987361.05,0,0,29.0
1712987363.08,0,0,35.5
1712987365.12,0,0,27.5
1712987367.08,0,0,32.0
1712987369.07,0,0,25.0
1712987371.06,0,0,25.0
1712987373.07,0,0,22.5
1712987375.08,0,0,27.0
1712987377.07,0,0,26.0
1712987379.08,0,0,33.5
1712987381.06,0,0,33.5
1712987383.08,0,0,22.5
1712987385.08,0,0,33.5
1712987387.08,0,0,22.0
1712987389.07,0,0,25.0
1712987391.05,0,0,25.0
1712987393.08,0,0,30.5
1712987395.08,0,0,25.5
1712987397.08,0,0,30.5
1712987399.05,0,0,30.5
1712987401.07,0,0,24.5
1712987403.07,0,0,23.0
1712987405.07,0,0,24.0
1712987407.07,0,0,24.5
1712987409.05,0,0,24.5
1712987411.07,0,0,23.5
1712987413.07,0,0,25.0
1712987415.07,0,0,22.5
1712987417.07,0,0,24.0
1712987419.07,0,0,24.0
1712987421.08,0,0,29.0
1712987423.08,0,0,26.5
1712987425.08,0,0,30.5
1712987427.05,0,0,30.5
1712987429.08,0,0,26.5
1712987431.08,0,0,23.5
1712987433.08,0,0,21.5
1712987435.07,0,0,30.0
1712987437.06,0,0,30.0
1712987439.07,0,0,25.5
1712987441.07,0,0,25.5
1712987443.07,0,0,24.5
1712987445.07,0,0,24.0
1712987447.05,0,0,24.0
1712987449.07,0,0,25.0
1712987451.07,0,0,23.5
1712987453.07,0,0,31.5
1712987455.05,0,0,31.5
1712987457.07,0,0,25.0
1712987459.07,0,0,31.5
1712987461.07,0,0,21.0
1712987463.07,0,0,20.0
1712987465.05,0,0,20.0
1712987467.08,0,0,27.0
1712987469.08,0,0,29.5
1712987471.08,0,0,32.0
1712987473.08,0,0,33.0
1712987475.05,0,0,33.0
1712987477.08,0,0,20.0
1712987479.08,0,0,32.0
1712987481.08,0,0,28.5
1712987483.06,0,0,28.5
1712987485.07,0,0,26.5
1712987487.08,0,0,25.5
1712987489.08,0,0,20.0
1712987491.08,0,0,27.0
1712987493.05,0,0,27.0
1712987495.08,0,0,23.5
1712987497.07,0,0,27.0
1712987499.07,0,0,26.5
1712987501.08,0,0,32.0
1712987503.05,0,0,32.0
1712987505.11,0,0,25.0
1712987507.07,0,0,25.0
1712987509.07,0,0,17.5
1712987511.07,0,0,31.0
1712987513.05,0,0,31.0
1712987515.07,0,0,28.0
1712987517.07,0,0,31.5
1712987519.07,0,0,29.5
1712987521.06,0,0,29.5
1712987523.08,0,0,24.5
1712987525.08,0,0,26.0
1712987527.08,0,0,28.5
1712987529.08,0,0,23.0
1712987531.05,0,0,23.0
1712987533.07,0,0,21.5
1712987535.08,0,0,27.5
1712987537.08,0,0,25.0
1712987539.08,0,0,26.0
1712987541.05,0,0,26.0
1712987543.08,0,0,27.5
1712987545.08,0,0,23.0
1712987547.07,0,0,23.0
1712987549.05,0,0,23.0
1712987551.08,0,0,28.0
1712987553.08,0,0,25.0
1712987555.08,0,0,34.5
1712987557.08,0,0,26.5
1712987559.05,0,0,26.5
1712987561.08,0,0,34.5
1712987563.07,0,0,33.0
1712987565.08,0,0,38.0
1712987567.07,0,0,21.0
1712987569.05,0,0,21.0
1712987571.07,0,0,30.5
1712987573.08,0,0,34.5
1712987575.08,0,0,35.0
1712987577.05,0,0,35.0
1712987579.08,0,0,25.5
1712987581.08,0,0,25.5
1712987583.08,0,0,25.0
1712987585.08,0,0,34.0
1712987587.08,0,0,34.0
1712987589.08,0,0,24.5
1712987591.08,0,0,28.5
1712987593.08,0,0,25.5
1712987595.08,0,0,25.0
1712987597.05,0,0,25.0
1712987599.08,0,0,28.0
1712987601.08,0,0,26.0
1712987603.07,0,0,21.5
1712987605.05,0,0,21.5
1712987607.07,0,0,22.5
1712987609.07,0,0,23.0
1712987611.07,0,0,23.5
1712987613.08,0,0,22.0
1712987615.05,0,0,22.0
1712987617.08,0,0,24.5
1712987619.07,0,0,28.0
1712987621.08,0,0,24.5
1712987623.06,0,0,24.5
1712987625.07,0,0,29.0
1712987627.07,0,0,21.5
1712987629.07,0,0,25.5
1712987631.08,0,0,36.0
1712987633.06,0,0,36.0
1712987635.08,0,0,26.5
1712987637.08,0,0,23.0
1712987639.07,0,0,30.5
1712987641.08,0,0,24.5
1712987643.05,0,0,24.5
1712987645.07,0,0,29.0
1712987647.09,0,0,36.0
1712987649.07,0,0,22.5
1712987651.08,0,0,25.5
1712987653.05,0,0,25.5
1712987655.07,0,0,34.0
1712987657.07,0,0,24.0
1712987659.07,0,0,30.0
1712987661.05,0,0,30.0
1712987663.07,0,0,20.0
1712987665.08,0,0,27.0
1712987667.08,0,0,25.5
1712987669.07,0,0,30.5
1712987671.05,0,0,30.5
1712987673.08,0,0,26.0
1712987675.08,0,0,28.0
1712987677.08,0,0,29.5
1712987679.06,0,0,29.5
1712987681.08,0,0,25.5
1712987683.07,0,0,26.5
1712987685.07,0,0,26.5
1712987687.07,0,0,22.5
1712987689.05,0,0,22.5
1712987691.07,0,0,27.0
1712987693.07,0,0,24.0
1712987695.13,0,0,32.0
1712987697.08,0,0,26.5
1712987699.05,0,0,26.5
1712987701.11,0,0,23.0
1712987703.07,0,0,29.0
1712987705.07,0,0,32.5
1712987707.07,0,0,28.0
1712987709.05,0,0,28.0
1712987711.07,0,0,28.0
1712987713.07,0,0,24.5
1712987715.08,0,0,28.5
1712987717.08,0,0,22.5
1712987719.05,0,0,22.5
1712987721.07,0,0,25.0
1712987723.07,0,0,24.0
1712987725.07,0,0,27.0
1712987727.05,0,0,27.0
1712987729.07,0,0,29.0
1712987731.08,0,0,21.5
1712987733.07,0,0,24.0
1712987735.08,0,0,27.0
1712987737.07,0,0,27.0
1712987739.07,0,0,22.5
1712987741.07,0,0,24.5
1712987743.07,0,0,27.0
1712987745.07,0,0,27.5
1712987747.05,0,0,27.5
1712987749.08,0,0,26.5
1712987751.08,0,0,28.0
1712987753.08,0,0,22.5
1712987755.05,0,0,22.5
1712987757.08,0,0,28.5
1712987759.07,0,0,26.5
1712987761.07,0,0,29.5
1712987763.08,0,0,20.0
1712987765.05,0,0,20.0
1712987767.08,0,0,25.0
1712987769.07,0,0,26.0
1712987771.07,0,0,27.0
1712987773.07,0,0,23.5
1712987775.05,0,0,23.5
1712987777.08,0,0,31.0
1712987779.08,0,0,30.0
1712987781.07,0,0,23.5
1712987783.06,0,0,23.5
1712987785.08,0,0,22.5
1712987787.07,0,0,25.5
1712987789.07,0,0,23.5
1712987791.07,0,0,25.0
1712987793.05,0,0,25.0
1712987795.07,0,0,25.5
