Time,PM1,PM2.5,PM10
1707521190.3616307,0,1,1
1707521191.3631988,0,1,1
1707521192.3647442,0,1,1
1707521193.3662827,0,1,1
1707521194.3678246,0,1,1
1707521195.3700943,0,1,1
1707521196.3724303,0,1,1
1707521197.374812,0,1,1
1707521198.3770716,0,1,1
1707521199.3792005,0,1,1
1707521200.380646,1,2,2
1707521201.3822243,1,2,2
1707521202.3837714,1,2,2
1707521203.3853216,1,2,2
1707521204.3868754,1,2,2
1707521205.3891542,1,2,2
1707521206.3914785,1,2,2
1707521207.3934958,1,2,2
1707521208.3958066,1,2,2
1707521209.3980951,1,2,2
1707521210.4003534,1,2,2
1707521211.4026475,1,2,2
1707521212.4049492,1,1,1
1707521213.407254,1,1,1
1707521214.4095585,1,1,1
1707521215.4125164,1,1,1
1707521216.414838,1,1,1
1707521217.4171278,1,1,1
1707521218.419341,1,1,1
1707521219.421509,1,1,1
